Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
188,0,1,0,0,1,1,1,1,0005,0,1,00,1,065,58
189,1,0,0,0,0,1,1,0,0005,1,1,00,1,065,58
190,0,1,0,0,1,1,1,1,00fa,0,1,00,1,066,58
191,1,0,0,0,0,1,1,0,00fa,1,1,00,1,066,58
192,0,1,0,0,1,1,1,1,03de,0,1,00,1,067,58
193,1,0,0,0,0,1,1,0,03de,1,1,00,1,067,58
194,0,1,0,0,1,1,1,1,03ca,0,1,00,1,068,58
195,1,0,0,0,0,1,1,0,03ca,1,1,00,1,068,58
196,0,1,0,0,1,1,1,1,00d9,0,1,00,1,069,58
197,1,0,0,0,0,1,1,0,00d9,1,1,00,1,069,58
198,0,1,0,0,1,1,1,1,01c4,0,1,00,1,06a,58
199,1,0,0,0,0,1,1,0,01c4,1,1,00,1,06a,58
200,0,1,0,0,1,1,1,1,001f,0,1,00,1,06b,58
201,1,0,0,0,0,1,1,0,001f,1,1,00,1,06b,58
202,0,1,0,0,1,1,1,1,0145,0,1,00,1,06c,58
203,1,0,0,0,0,1,1,0,0145,1,1,00,1,06c,58
204,0,1,0,0,1,1,1,1,0030,0,1,00,1,06d,58
205,1,0,0,0,0,1,1,0,0030,1,1,00,1,06d,58
206,0,1,0,0,1,1,1,1,0003,0,1,00,1,06e,58
207,1,0,0,0,0,1,1,0,0003,1,1,00,1,06e,58
208,0,1,0,0,1,1,1,1,0133,0,1,00,1,06f,58
209,1,0,0,0,0,1,1,0,0133,1,1,00,1,06f,58
210,0,1,0,0,1,1,1,1,01d0,0,1,00,1,070,58
