Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
164,4,0,0,0,0,1,1,0,001e,1,1,00,1,51,217
165,5,0,0,0,0,1,1,0,001e,0,1,00,1,51,218
166,6,0,0,0,0,1,1,0,001e,0,1,00,1,51,218
167,7,0,0,0,0,1,1,0,001e,0,1,00,1,51,218
168,0,1,0,0,1,1,1,1,0297,0,1,00,1,52,216
169,1,0,0,0,0,1,1,0,0297,1,1,00,1,52,216
170,2,0,0,0,0,1,1,0,0297,0,1,00,1,52,217
171,3,0,0,0,0,1,1,0,0297,0,1,00,1,52,217
172,4,0,0,0,0,1,1,0,0297,1,1,00,1,52,217
173,5,0,0,0,0,1,1,0,0297,0,1,00,1,52,218
174,6,0,0,0,0,1,1,0,0297,0,1,00,1,52,218
175,7,0,0,0,0,1,1,0,0297,0,1,00,1,52,218
176,0,1,0,0,1,1,1,1,0061,0,1,00,1,53,216
177,1,0,0,0,0,1,1,0,0061,1,1,00,1,53,216
178,2,0,0,0,0,1,1,0,0061,0,1,00,1,53,217
179,3,0,0,0,0,1,1,0,0061,0,1,00,1,53,217
180,4,0,0,0,0,1,1,0,0061,1,1,00,1,53,217
181,5,0,0,0,0,1,1,0,0061,0,1,00,1,53,218
182,6,0,0,0,0,1,1,0,0061,0,1,00,1,53,218
183,7,0,0,0,0,1,1,0,0061,0,1,00,1,53,218
184,0,1,0,0,1,1,1,1,00ce,0,1,00,1,54,216
185,1,0,0,0,0,1,1,0,00ce,1,1,00,1,54,216
186,2,0,0,0,0,1,1,0,00ce,0,1,00,1,54,217
187,3,0,0,0,0,1,1,0,00ce,0,1,00,1,54,217
188,4,0,0,0,0,1,1,0,00ce,1,1,00,1,54,217
189,5,0,0,0,0,1,1,0,00ce,0,1,00,1,54,218
190,6,0,0,0,0,1,1,0,00ce,0,1,00,1,54,218
191,7,0,0,0,0,1,1,0,00ce,0,1,00,1,54,218
192,0,1,0,0,1,1,1,1,0009,0,1,00,1,55,216
193,1,0,0,0,0,1,1,0,0009,1,1,00,1,55,216
194,2,0,0,0,0,1,1,0,0009,0,1,00,1,55,217
195,3,0,0,0,0,1,1,0,0009,0,1,00,1,55,217
196,4,0,0,0,0,1,1,0,0009,1,1,00,1,55,217
197,5,0,0,0,0,1,1,0,0009,0,1,00,1,55,218
198,6,0,0,0,0,1,1,0,0009,0,1,00,1,55,218
199,7,0,0,0,0,1,1,0,0009,0,1,00,1,55,218
200,0,1,0,0,1,1,1,1,0008,0,1,00,1,56,216
201,1,0,0,0,0,1,1,0,0008,1,1,00,1,56,216
202,2,0,0,0,0,1,1,0,0008,0,1,00,1,56,217
203,3,0,0,0,0,1,1,0,0008,0,1,00,1,56,217
204,4,0,0,0,0,1,1,0,0008,1,1,00,1,56,217
205,5,0,0,0,0,1,1,0,0008,0,1,00,1,56,218
206,6,0,0,0,0,1,1,0,0008,0,1,00,1,56,218
207,7,0,0,0,0,1,1,0,0008,0,1,00,1,56,218
208,0,1,0,0,1,1,1,1,00fa,0,1,00,1,57,216
209,1,0,0,0,0,1,1,0,00fa,1,1,00,1,57,216
210,2,0,0,0,0,1,1,0,00fa,0,1,00,1,57,217
211,3,0,0,0,0,1,1,0,00fa,0,1,00,1,57,217
212,4,0,0,0,0,1,1,0,00fa,1,1,00,1,57,217
213,5,0,0,0,0,1,1,0,00fa,0,1,00,1,57,218
214,6,0,0,0,0,1,1,0,00fa,0,1,00,1,57,218
215,7,0,0,0,0,1,1,0,00fa,0,1,00,1,57,218
216,0,1,0,0,1,1,1,1,02c8,0,1,00,1,58,216
217,1,0,0,0,0,1,1,0,02c8,1,1,00,1,58,216
218,2,0,0,0,0,1,1,0,02c8,0,1,00,1,58,217
219,3,0,0,0,0,1,1,0,02c8,0,1,00,1,58,217
220,4,0,0,0,0,1,1,0,02c8,1,1,00,1,58,217
221,5,0,0,0,0,1,1,0,02c8,0,1,00,1,58,218
222,6,0,0,0,0,1,1,0,02c8,0,1,00,1,58,218
223,7,0,0,0,0,1,1,0,02c8,0,1,00,1,58,218
224,0,1,0,0,1,1,1,1,0355,0,1,00,1,59,216
225,1,0,0,0,0,1,1,0,0355,1,1,00,1,59,216
226,2,0,0,0,0,1,1,0,0355,0,1,00,1,59,217
227,3,0,0,0,0,1,1,0,0355,0,1,00,1,59,217
228,4,0,0,0,0,1,1,0,0355,1,1,00,1,59,217
229,5,0,0,0,0,1,1,0,0355,0,1,00,1,59,218
230,6,0,0,0,0,1,1,0,0355,0,1,00,1,59,218
231,7,0,0,0,0,1,1,0,0355,0,1,00,1,59,218
232,0,1,0,0,1,1,1,1,0168,0,1,00,1,60,216
233,1,0,0,0,0,1,1,0,0168,1,1,00,1,60,216
234,2,0,0,0,0,1,1,0,0168,0,1,00,1,60,217
235,3,0,0,0,0,1,1,0,0168,0,1,00,1,60,217
236,4,0,0,0,0,1,1,0,0168,1,1,00,1,60,217
237,5,0,0,0,0,1,1,0,0168,0,1,00,1,60,218
238,6,0,0,0,0,1,1,0,0168,0,1,00,1,60,218
239,7,0,0,0,0,1,1,0,0168,0,1,00,1,60,218
240,0,1,0,0,1,1,1,1,030d,0,1,00,1,61,216
